account_id,app,reviewer,decision,review_date
A001099,Tableau,prior.reviewer,approved,2026-06-25
A000940,Gateway,prior.reviewer,approved,2026-07-11
A000509,Tableau,prior.reviewer,approved,2026-06-27
A000821,Active Directory,prior.reviewer,approved,2026-07-01
A000584,Expense,prior.reviewer,approved,2026-07-10
A000712,Compass CRM,prior.reviewer,approved,2026-07-11
A000957,Expense,prior.reviewer,approved,2026-06-22
A001070,Expense,prior.reviewer,approved,2026-07-10
A000595,Helix ITSM,prior.reviewer,approved,2026-06-22
A000933,Compass CRM,prior.reviewer,approved,2026-06-28
A000006,Active Directory,prior.reviewer,approved,2026-07-07
A000216,Badge access,prior.reviewer,approved,2026-07-03
A000539,VPN,prior.reviewer,approved,2026-06-23
A000317,Jenkins,prior.reviewer,approved,2026-07-10
A000459,Zoom,prior.reviewer,approved,2026-06-23
A000924,Gateway,prior.reviewer,approved,2026-07-09
A001067,Active Directory,prior.reviewer,approved,2026-07-05
A000826,Slack,prior.reviewer,approved,2026-07-10
A000098,Badge access,prior.reviewer,approved,2026-06-26
A000236,Badge access,prior.reviewer,approved,2026-06-28
A000431,Expense,prior.reviewer,approved,2026-07-11
A000024,Helix ITSM,prior.reviewer,approved,2026-07-08
A000769,VPN,prior.reviewer,approved,2026-06-30
A000357,Gateway,prior.reviewer,approved,2026-07-11
A000295,Helix ITSM,prior.reviewer,approved,2026-07-10
A000126,Gateway,prior.reviewer,approved,2026-06-29
A000910,Compass CRM,prior.reviewer,approved,2026-06-28
A000769,AWS NonProd,prior.reviewer,approved,2026-07-01
A000197,Gateway,prior.reviewer,approved,2026-07-03
A001173,Expense,prior.reviewer,approved,2026-07-08
A000672,Snowflake,prior.reviewer,approved,2026-07-12
A000778,Expense,prior.reviewer,approved,2026-07-11
A000776,Badge access,prior.reviewer,approved,2026-07-03
A001082,Zoom,prior.reviewer,approved,2026-07-01
A000220,Slack,prior.reviewer,approved,2026-06-25
A000852,Snowflake,prior.reviewer,approved,2026-07-03
A000989,Badge access,prior.reviewer,approved,2026-06-26
A000707,Gateway,prior.reviewer,approved,2026-07-12
A000012,Badge access,prior.reviewer,approved,2026-06-28
A001108,Expense,prior.reviewer,approved,2026-07-12
A000042,VPN,prior.reviewer,approved,2026-07-04
A000911,Slack,prior.reviewer,approved,2026-06-23
A000540,Slack,prior.reviewer,approved,2026-06-24
A000347,Active Directory,prior.reviewer,approved,2026-06-29
A000936,Tableau,prior.reviewer,approved,2026-07-07
A000538,Helix ITSM,prior.reviewer,approved,2026-06-24
A001072,Zoom,prior.reviewer,approved,2026-06-23
A000383,Expense,prior.reviewer,approved,2026-07-05
A000889,GitHub Enterprise,prior.reviewer,approved,2026-07-02
A000477,VPN,prior.reviewer,approved,2026-06-24
A000133,Zoom,prior.reviewer,approved,2026-07-02
A000688,GitHub Enterprise,prior.reviewer,approved,2026-07-03
A000924,Jenkins,prior.reviewer,approved,2026-07-02
A000833,Zoom,prior.reviewer,approved,2026-06-27
A000032,Compass CRM,prior.reviewer,approved,2026-07-06
A001072,Gateway,prior.reviewer,approved,2026-06-26
A000114,AWS Prod,prior.reviewer,approved,2026-06-29
A000253,Snowflake,prior.reviewer,approved,2026-07-12
A000776,Slack,prior.reviewer,approved,2026-06-24
A000375,VPN,prior.reviewer,approved,2026-06-29
A000183,Expense,prior.reviewer,approved,2026-06-27
A000709,Helix ITSM,prior.reviewer,approved,2026-06-25
A000983,Badge access,prior.reviewer,approved,2026-06-24
A000820,Zoom,prior.reviewer,approved,2026-06-22
A000834,Expense,prior.reviewer,approved,2026-06-30
A000974,Slack,prior.reviewer,approved,2026-07-09
A000095,Active Directory,prior.reviewer,approved,2026-07-01
A000178,Gateway,prior.reviewer,approved,2026-07-04
A001049,Helix ITSM,prior.reviewer,approved,2026-06-23
A000144,Zoom,prior.reviewer,approved,2026-07-05
A000849,Gateway,prior.reviewer,approved,2026-07-06
A001041,Zoom,prior.reviewer,approved,2026-06-26
A000898,Zoom,prior.reviewer,approved,2026-06-23
A000138,Slack,prior.reviewer,approved,2026-07-03
A001160,Compass CRM,prior.reviewer,approved,2026-06-27
A001042,Gateway,prior.reviewer,approved,2026-06-27
A001136,Zoom,prior.reviewer,approved,2026-06-28
A000032,AWS Prod,prior.reviewer,approved,2026-07-07
A000847,Jenkins,prior.reviewer,approved,2026-06-24
A000605,Zoom,prior.reviewer,approved,2026-06-26
A000048,Gateway,prior.reviewer,approved,2026-07-04
A000127,Slack,prior.reviewer,approved,2026-06-30
A000843,Badge access,prior.reviewer,approved,2026-07-11
A001092,Zoom,prior.reviewer,approved,2026-07-04
A001052,AWS NonProd,prior.reviewer,approved,2026-07-03
A000565,Compass CRM,prior.reviewer,approved,2026-07-09
A000041,Badge access,prior.reviewer,approved,2026-06-25
A000918,Tableau,prior.reviewer,approved,2026-06-30
A000571,Active Directory,prior.reviewer,approved,2026-06-29
A000196,Jenkins,prior.reviewer,approved,2026-06-28
A000082,Expense,prior.reviewer,approved,2026-07-11
A000014,Active Directory,prior.reviewer,approved,2026-07-07
A000638,AWS NonProd,prior.reviewer,approved,2026-07-08
A000292,Helix ITSM,prior.reviewer,approved,2026-07-04
A000938,AWS NonProd,prior.reviewer,approved,2026-06-24
A000073,Badge access,prior.reviewer,approved,2026-06-29
A000473,Expense,prior.reviewer,approved,2026-07-08
A000207,Expense,prior.reviewer,approved,2026-07-02
A000100,Tableau,prior.reviewer,approved,2026-07-10
A000508,VPN,prior.reviewer,approved,2026-07-08
A001120,Expense,prior.reviewer,approved,2026-06-22
A000892,Badge access,prior.reviewer,approved,2026-07-11
A000870,Zoom,prior.reviewer,approved,2026-07-04
A001161,Gateway,prior.reviewer,approved,2026-06-27
A000700,Slack,prior.reviewer,approved,2026-06-26
A000194,Expense,prior.reviewer,approved,2026-06-22
A000470,Zoom,prior.reviewer,approved,2026-06-28
A000012,Atlas ERP,prior.reviewer,approved,2026-07-02
A000305,Badge access,prior.reviewer,approved,2026-07-06
A000905,Tableau,prior.reviewer,approved,2026-06-28
A001112,Active Directory,prior.reviewer,approved,2026-07-10
A001190,Jenkins,prior.reviewer,approved,2026-06-24
A000667,Expense,prior.reviewer,approved,2026-06-23
A000711,Badge access,prior.reviewer,approved,2026-06-30
A000342,Zoom,prior.reviewer,approved,2026-07-01
A000854,Zoom,prior.reviewer,approved,2026-07-11
A001088,Slack,prior.reviewer,approved,2026-06-29
A000671,Active Directory,prior.reviewer,approved,2026-06-22
A000033,Tableau,prior.reviewer,approved,2026-06-28
A000141,Jenkins,prior.reviewer,approved,2026-07-12
A000526,Expense,prior.reviewer,approved,2026-06-25
A000400,Zoom,prior.reviewer,approved,2026-06-27
A000348,Expense,prior.reviewer,approved,2026-07-02
A001172,Expense,prior.reviewer,approved,2026-07-12
A000353,AWS NonProd,prior.reviewer,approved,2026-07-12
A000081,Zoom,prior.reviewer,approved,2026-07-04
A001075,Badge access,prior.reviewer,approved,2026-06-24
A001178,Gateway,prior.reviewer,approved,2026-07-12
A000286,Zoom,prior.reviewer,approved,2026-07-01
A000305,Zoom,prior.reviewer,approved,2026-06-23
A000644,Helix ITSM,prior.reviewer,approved,2026-06-28
A000811,Slack,prior.reviewer,approved,2026-07-10
A000133,Gateway,prior.reviewer,approved,2026-07-11
A001085,Compass CRM,prior.reviewer,approved,2026-06-29
A000564,Helix ITSM,prior.reviewer,approved,2026-07-07
A001067,AWS NonProd,prior.reviewer,approved,2026-06-23
A001132,AWS NonProd,prior.reviewer,approved,2026-06-30
A000704,Expense,prior.reviewer,approved,2026-07-08
A000756,Badge access,prior.reviewer,approved,2026-07-06
A000545,Zoom,prior.reviewer,approved,2026-07-04
A000407,Expense,prior.reviewer,approved,2026-07-11
A000133,VPN,prior.reviewer,approved,2026-07-04
A000370,Slack,prior.reviewer,approved,2026-07-08
A000021,Expense,prior.reviewer,approved,2026-07-07
A000637,Slack,prior.reviewer,approved,2026-07-04
A001145,Slack,prior.reviewer,approved,2026-07-03
A000871,AWS NonProd,prior.reviewer,approved,2026-06-22
A000090,Helix ITSM,prior.reviewer,approved,2026-07-04
A000729,VPN,prior.reviewer,approved,2026-07-06
A000005,Compass CRM,prior.reviewer,approved,2026-06-28
A000931,Active Directory,prior.reviewer,approved,2026-07-11
A000587,AWS NonProd,prior.reviewer,approved,2026-06-26
A000227,Helix ITSM,prior.reviewer,approved,2026-06-23
A000512,Slack,prior.reviewer,approved,2026-07-04
A000224,Zoom,prior.reviewer,approved,2026-06-29
A000033,Badge access,prior.reviewer,approved,2026-06-28
A000107,Expense,prior.reviewer,approved,2026-07-10
A000947,GitHub Enterprise,prior.reviewer,approved,2026-06-25
A000659,Zoom,prior.reviewer,approved,2026-07-04
A000067,Slack,prior.reviewer,approved,2026-07-03
A000423,Active Directory,prior.reviewer,approved,2026-07-04
A000630,Badge access,prior.reviewer,approved,2026-07-01
A000267,Compass CRM,prior.reviewer,approved,2026-07-03
A000949,VPN,prior.reviewer,approved,2026-06-29
A000350,Expense,prior.reviewer,approved,2026-06-28
A000737,Helix ITSM,prior.reviewer,approved,2026-06-25
A000993,VPN,prior.reviewer,approved,2026-07-08
A000020,Slack,prior.reviewer,approved,2026-07-03
A000961,Expense,prior.reviewer,approved,2026-07-11
A001007,Slack,prior.reviewer,approved,2026-07-07
A000864,Expense,prior.reviewer,approved,2026-07-02
A000468,VPN,prior.reviewer,approved,2026-06-24
A000245,Zoom,prior.reviewer,approved,2026-07-07
A000565,Gateway,prior.reviewer,approved,2026-06-22
A000610,Slack,prior.reviewer,approved,2026-07-08
A000161,Active Directory,prior.reviewer,approved,2026-06-28
A000105,Slack,prior.reviewer,approved,2026-07-03
A000277,VPN,prior.reviewer,approved,2026-06-22
A000097,Slack,prior.reviewer,approved,2026-07-03
A001044,Helix ITSM,prior.reviewer,approved,2026-07-01
A000586,Expense,prior.reviewer,approved,2026-07-12
A000235,Badge access,prior.reviewer,approved,2026-06-26
A000981,Slack,prior.reviewer,approved,2026-07-01
A001191,Vault,prior.reviewer,approved,2026-07-12
A000599,Zoom,prior.reviewer,approved,2026-06-24
A000292,VPN,prior.reviewer,approved,2026-07-02
A000149,Gateway,prior.reviewer,approved,2026-07-08
A000677,Active Directory,prior.reviewer,approved,2026-06-30
A000382,Snowflake,prior.reviewer,approved,2026-06-29
A001073,Active Directory,prior.reviewer,approved,2026-06-27
A000536,Slack,prior.reviewer,approved,2026-07-05
A000347,VPN,prior.reviewer,approved,2026-06-27
A000188,Active Directory,prior.reviewer,approved,2026-07-01
A000323,Active Directory,prior.reviewer,approved,2026-07-09
A000155,Zoom,prior.reviewer,approved,2026-07-09
A000599,Slack,prior.reviewer,approved,2026-06-26
A000251,VPN,prior.reviewer,approved,2026-07-04
A000714,Gateway,prior.reviewer,approved,2026-07-07
A001187,Helix ITSM,prior.reviewer,approved,2026-07-07
A000118,Expense,prior.reviewer,approved,2026-07-01
A001002,Badge access,prior.reviewer,approved,2026-06-25
A000278,Tableau,prior.reviewer,approved,2026-06-28
A000978,Zoom,prior.reviewer,approved,2026-06-25
A001001,Badge access,prior.reviewer,approved,2026-07-03
A000572,Active Directory,prior.reviewer,approved,2026-07-10
A000197,VPN,prior.reviewer,approved,2026-07-01
A000361,Slack,prior.reviewer,approved,2026-07-04
A000460,Helix ITSM,prior.reviewer,approved,2026-06-27
A000003,Badge access,prior.reviewer,approved,2026-07-03
A000589,Badge access,prior.reviewer,approved,2026-07-09
A000485,Badge access,prior.reviewer,approved,2026-06-25
A001093,VPN,prior.reviewer,approved,2026-06-29
A000608,Slack,prior.reviewer,approved,2026-07-01
A000987,Zoom,prior.reviewer,approved,2026-07-04
A000352,Zoom,prior.reviewer,approved,2026-07-09
A000391,Active Directory,prior.reviewer,approved,2026-06-28
A000740,Gateway,prior.reviewer,approved,2026-07-08
A000490,Active Directory,prior.reviewer,approved,2026-06-27
A001005,VPN,prior.reviewer,approved,2026-06-29
A000662,Helix ITSM,prior.reviewer,approved,2026-06-30
A000394,Zoom,prior.reviewer,approved,2026-06-24
A001093,Slack,prior.reviewer,approved,2026-07-11
A000423,AWS Prod,prior.reviewer,approved,2026-07-01
A001042,VPN,prior.reviewer,approved,2026-06-22
A000061,VPN,prior.reviewer,approved,2026-06-30
A000674,Gateway,prior.reviewer,approved,2026-07-07
A001087,Compass CRM,prior.reviewer,approved,2026-07-01
A000433,Vault,prior.reviewer,approved,2026-06-26
A000051,AWS NonProd,prior.reviewer,approved,2026-06-22
A000620,Slack,prior.reviewer,approved,2026-07-04
A000637,Helix ITSM,prior.reviewer,approved,2026-06-27
A000493,Gateway,prior.reviewer,approved,2026-07-01
A000861,Jenkins,prior.reviewer,approved,2026-07-10
A001088,Snowflake,prior.reviewer,approved,2026-07-07
A000229,Active Directory,prior.reviewer,approved,2026-07-07
A000235,Jenkins,prior.reviewer,approved,2026-07-07
A000504,Zoom,prior.reviewer,approved,2026-06-30
A000668,Helix ITSM,prior.reviewer,approved,2026-06-24
A000687,Atlas ERP,prior.reviewer,approved,2026-06-27
A000062,Compass CRM,prior.reviewer,approved,2026-07-05
A000948,AWS NonProd,prior.reviewer,approved,2026-07-04
A000055,Compass CRM,prior.reviewer,approved,2026-07-01
A000084,Slack,prior.reviewer,approved,2026-06-26
A001057,Badge access,prior.reviewer,approved,2026-07-08
A000601,VPN,prior.reviewer,approved,2026-07-03
A000687,Badge access,prior.reviewer,approved,2026-06-28
A000871,Gateway,prior.reviewer,approved,2026-06-26
A000811,Helix ITSM,prior.reviewer,approved,2026-06-29
A001126,Badge access,prior.reviewer,approved,2026-07-03
A000867,VPN,prior.reviewer,approved,2026-06-22
A001162,Jenkins,prior.reviewer,approved,2026-07-11
A000687,Procure,prior.reviewer,approved,2026-07-08
A000326,Slack,prior.reviewer,approved,2026-06-22
A000276,Snowflake,prior.reviewer,approved,2026-06-25
A000394,AWS Prod,prior.reviewer,approved,2026-07-06
A000243,Slack,prior.reviewer,approved,2026-07-05
A000690,Tableau,prior.reviewer,approved,2026-06-26
A000005,Helix ITSM,prior.reviewer,approved,2026-06-22
A000857,VPN,prior.reviewer,approved,2026-06-22
A000390,Jenkins,prior.reviewer,approved,2026-07-03
A000320,Slack,prior.reviewer,approved,2026-07-03
A001191,VPN,prior.reviewer,approved,2026-07-06
A000797,VPN,prior.reviewer,approved,2026-07-02
A000678,Gateway,prior.reviewer,approved,2026-07-02
A000804,VPN,prior.reviewer,approved,2026-07-02
A000401,Slack,prior.reviewer,approved,2026-07-06
A000711,Zoom,prior.reviewer,approved,2026-07-03
A000049,Helix ITSM,prior.reviewer,approved,2026-06-26
A000504,Gateway,prior.reviewer,approved,2026-07-03
A000907,Active Directory,prior.reviewer,approved,2026-07-06
A000632,Snowflake,prior.reviewer,approved,2026-06-24
A000892,Expense,prior.reviewer,approved,2026-07-08
A000062,Active Directory,prior.reviewer,approved,2026-07-12
A000346,Expense,prior.reviewer,approved,2026-07-06
A000196,Active Directory,prior.reviewer,approved,2026-07-04
A000609,Expense,prior.reviewer,approved,2026-06-26
A000018,AWS NonProd,prior.reviewer,approved,2026-06-30
A000478,Slack,prior.reviewer,approved,2026-06-29
A001022,Gateway,prior.reviewer,approved,2026-06-23
A001054,Compass CRM,prior.reviewer,approved,2026-07-05
A001099,Procure,prior.reviewer,approved,2026-07-05
A000867,Vault,prior.reviewer,approved,2026-06-22
A000393,Zoom,prior.reviewer,approved,2026-06-26
A000814,Expense,prior.reviewer,approved,2026-06-29
A001013,Compass CRM,prior.reviewer,approved,2026-07-12
A000350,Badge access,prior.reviewer,approved,2026-07-06
A000079,Slack,prior.reviewer,approved,2026-07-04
A000937,Slack,prior.reviewer,approved,2026-07-04
A000545,Gateway,prior.reviewer,approved,2026-06-24
A000969,Expense,prior.reviewer,approved,2026-07-01
A000145,Gateway,prior.reviewer,approved,2026-06-25
A000381,Slack,prior.reviewer,approved,2026-07-08
A000530,VPN,prior.reviewer,approved,2026-06-27
A000816,Zoom,prior.reviewer,approved,2026-07-11
A000419,VPN,prior.reviewer,approved,2026-06-25
A001050,Gateway,prior.reviewer,approved,2026-07-02
A000252,Compass CRM,prior.reviewer,approved,2026-07-11
A000852,Expense,prior.reviewer,approved,2026-07-08
A000186,Badge access,prior.reviewer,approved,2026-07-03
A000610,AWS NonProd,prior.reviewer,approved,2026-06-25
A000405,Compass CRM,prior.reviewer,approved,2026-07-01
A001130,Zoom,prior.reviewer,approved,2026-06-29
A000138,AWS NonProd,prior.reviewer,approved,2026-07-12
A000574,Compass CRM,prior.reviewer,approved,2026-06-22
A000665,Jenkins,prior.reviewer,approved,2026-07-03
A000719,Compass CRM,prior.reviewer,approved,2026-06-23
A000833,Badge access,prior.reviewer,approved,2026-06-24
A001154,Expense,prior.reviewer,approved,2026-06-22
A000097,Expense,prior.reviewer,approved,2026-06-24
A000725,Compass CRM,prior.reviewer,approved,2026-06-29
A000604,Badge access,prior.reviewer,approved,2026-06-22
A000508,Active Directory,prior.reviewer,approved,2026-07-04
A001052,Zoom,prior.reviewer,approved,2026-06-22
A000281,VPN,prior.reviewer,approved,2026-06-24
A000407,Jenkins,prior.reviewer,approved,2026-07-02
A000815,Expense,prior.reviewer,approved,2026-07-03
A000064,Gateway,prior.reviewer,approved,2026-07-01
A000288,Helix ITSM,prior.reviewer,approved,2026-07-02
A000356,VPN,prior.reviewer,approved,2026-06-28
A000257,Active Directory,prior.reviewer,approved,2026-07-03
A000126,Zoom,prior.reviewer,approved,2026-07-09
A001185,Zoom,prior.reviewer,approved,2026-07-12
A000130,Zoom,prior.reviewer,approved,2026-07-11
A000364,Tableau,prior.reviewer,approved,2026-06-30
A000596,Active Directory,prior.reviewer,approved,2026-07-04
A000647,Zoom,prior.reviewer,approved,2026-06-27
A000128,Helix ITSM,prior.reviewer,approved,2026-07-09
A000267,Zoom,prior.reviewer,approved,2026-06-25
A000778,Slack,prior.reviewer,approved,2026-07-05
A000844,Active Directory,prior.reviewer,approved,2026-07-03
A000709,Compass CRM,prior.reviewer,approved,2026-07-04
A000153,Expense,prior.reviewer,approved,2026-07-12
A000001,AWS NonProd,prior.reviewer,approved,2026-07-04
A000714,Expense,prior.reviewer,approved,2026-07-04
A000752,Helix ITSM,prior.reviewer,approved,2026-06-30
A000622,Gateway,prior.reviewer,approved,2026-06-29
A000112,Slack,prior.reviewer,approved,2026-06-25
A000158,Expense,prior.reviewer,approved,2026-07-02
A000764,Jenkins,prior.reviewer,approved,2026-07-02
A001014,Helix ITSM,prior.reviewer,approved,2026-07-07
A001184,Badge access,prior.reviewer,approved,2026-06-24
A000210,Badge access,prior.reviewer,approved,2026-07-12
A000202,Badge access,prior.reviewer,approved,2026-06-26
A000070,Helix ITSM,prior.reviewer,approved,2026-07-08
A000385,Zoom,prior.reviewer,approved,2026-07-12
A000412,Gateway,prior.reviewer,approved,2026-07-11
A000415,Expense,prior.reviewer,approved,2026-07-10
A001034,VPN,prior.reviewer,approved,2026-06-22
A000751,Helix ITSM,prior.reviewer,approved,2026-06-25
A000788,Gateway,prior.reviewer,approved,2026-07-01
A000290,Active Directory,prior.reviewer,approved,2026-06-28
A000805,Active Directory,prior.reviewer,approved,2026-07-10
A000226,Active Directory,prior.reviewer,approved,2026-07-11
A001055,AWS NonProd,prior.reviewer,approved,2026-06-28
A001165,Badge access,prior.reviewer,approved,2026-07-08
A000360,Tableau,prior.reviewer,approved,2026-07-01
A000516,Expense,prior.reviewer,approved,2026-06-29
A000983,Gateway,prior.reviewer,approved,2026-07-08
A000851,Tableau,prior.reviewer,approved,2026-07-10
A000340,Tableau,prior.reviewer,approved,2026-06-26
A000424,Slack,prior.reviewer,approved,2026-07-03
A000239,Badge access,prior.reviewer,approved,2026-07-07
A000931,Tableau,prior.reviewer,approved,2026-07-03
A000502,Expense,prior.reviewer,approved,2026-06-28
A000885,VPN,prior.reviewer,approved,2026-07-05
A000007,Zoom,prior.reviewer,approved,2026-07-09
A000737,Zoom,prior.reviewer,approved,2026-07-05
A000491,Expense,prior.reviewer,approved,2026-07-04
A001019,Gateway,prior.reviewer,approved,2026-07-07
A001198,Zoom,prior.reviewer,approved,2026-06-24
A000988,Active Directory,prior.reviewer,approved,2026-07-06
A000479,Helix ITSM,prior.reviewer,approved,2026-07-12
A000814,Zoom,prior.reviewer,approved,2026-07-11
A000311,Gateway,prior.reviewer,approved,2026-07-09
A000397,Slack,prior.reviewer,approved,2026-07-03
A000310,Compass CRM,prior.reviewer,approved,2026-07-08
A000834,Gateway,prior.reviewer,approved,2026-07-04
A000254,AWS NonProd,prior.reviewer,approved,2026-06-22
A000611,Compass CRM,prior.reviewer,approved,2026-06-22
A001121,Slack,prior.reviewer,approved,2026-06-25
A000821,Snowflake,prior.reviewer,approved,2026-07-09
A000066,Slack,prior.reviewer,approved,2026-06-26
A000866,Slack,prior.reviewer,approved,2026-06-30
A000425,Expense,prior.reviewer,approved,2026-06-25
A000687,Zoom,prior.reviewer,approved,2026-07-05
A000511,Zoom,prior.reviewer,approved,2026-07-05
A000030,VPN,prior.reviewer,approved,2026-06-28
A001130,AWS NonProd,prior.reviewer,approved,2026-06-26
A000005,Badge access,prior.reviewer,approved,2026-06-26
A000743,Helix ITSM,prior.reviewer,approved,2026-07-02
A000139,Slack,prior.reviewer,approved,2026-07-11
A000792,Active Directory,prior.reviewer,approved,2026-06-29
A000443,Active Directory,prior.reviewer,approved,2026-07-03
A000348,Active Directory,prior.reviewer,approved,2026-06-22
A000196,Zoom,prior.reviewer,approved,2026-06-25
A000475,Snowflake,prior.reviewer,approved,2026-06-25
A000746,Active Directory,prior.reviewer,approved,2026-07-10
A000607,Active Directory,prior.reviewer,approved,2026-07-07
A000875,Gateway,prior.reviewer,approved,2026-07-01
A000702,Compass CRM,prior.reviewer,approved,2026-07-03
A000552,Helix ITSM,prior.reviewer,approved,2026-07-08
A000852,Jenkins,prior.reviewer,approved,2026-06-30
A000441,Tableau,prior.reviewer,approved,2026-06-30
A000605,Gateway,prior.reviewer,approved,2026-07-04
A000841,Active Directory,prior.reviewer,approved,2026-07-03
A001193,Badge access,prior.reviewer,approved,2026-07-09
A000805,Expense,prior.reviewer,approved,2026-07-01
A001027,Gateway,prior.reviewer,approved,2026-07-12
A000784,Zoom,prior.reviewer,approved,2026-06-27
A000143,Compass CRM,prior.reviewer,approved,2026-06-29
A000565,AWS NonProd,prior.reviewer,approved,2026-07-08
A000039,Expense,prior.reviewer,approved,2026-07-10
A000562,Badge access,prior.reviewer,approved,2026-07-10
A000775,Expense,prior.reviewer,approved,2026-07-01
A000841,Compass CRM,prior.reviewer,approved,2026-07-08
A000684,Expense,prior.reviewer,approved,2026-06-25
A001106,Expense,prior.reviewer,approved,2026-07-04
A000488,Helix ITSM,prior.reviewer,approved,2026-06-28
A000137,AWS NonProd,prior.reviewer,approved,2026-06-28
A000258,Gateway,prior.reviewer,approved,2026-06-28
A000297,Active Directory,prior.reviewer,approved,2026-07-10
A000864,Gateway,prior.reviewer,approved,2026-06-22
A000131,Expense,prior.reviewer,approved,2026-07-04
A000081,Helix ITSM,prior.reviewer,approved,2026-07-04
A000246,Expense,prior.reviewer,approved,2026-07-03
A000273,Zoom,prior.reviewer,approved,2026-06-27
A000306,Expense,prior.reviewer,approved,2026-06-27
A000964,Snowflake,prior.reviewer,approved,2026-07-01
A000667,Snowflake,prior.reviewer,approved,2026-07-06
A000967,Expense,prior.reviewer,approved,2026-07-04
A000904,Gateway,prior.reviewer,approved,2026-06-26
A000023,VPN,prior.reviewer,approved,2026-07-02
A000478,Snowflake,prior.reviewer,approved,2026-06-30
A001091,Gateway,prior.reviewer,approved,2026-07-04
A000849,Zoom,prior.reviewer,approved,2026-07-02
A001089,Active Directory,prior.reviewer,approved,2026-06-28
A001172,Slack,prior.reviewer,approved,2026-06-27
A000461,Compass CRM,prior.reviewer,approved,2026-07-04
A001160,Zoom,prior.reviewer,approved,2026-06-26
A000317,Slack,prior.reviewer,approved,2026-07-03
A000376,Slack,prior.reviewer,approved,2026-06-26
A000777,Slack,prior.reviewer,approved,2026-06-26
